order_id,step,duration_min
O001,Receive,8
O001,Prep,16
O001,Assemble,12
O001,QA,9
O001,Ship,8
O002,Receive,20
O002,Prep,12
O002,Assemble,12
O002,QA,5
O002,Ship,9
O003,Receive,4
O003,Prep,3
O003,Assemble,13
O003,QA,7
O003,Ship,3
O004,Receive,2
O004,Prep,13
O004,Assemble,13
O004,QA,18
O004,Ship,11
O005,Receive,17
O005,Prep,16
O005,Assemble,16
O005,QA,20
O005,Ship,13
O006,Receive,4
O006,Prep,6
O006,Assemble,20
O006,QA,8
O006,Ship,10
O007,Receive,8
O007,Prep,19
O007,Assemble,5
O007,QA,15
O007,Ship,19
O008,Receive,10
O008,Prep,3
O008,Assemble,16
O008,QA,8
O008,Ship,13
O009,Receive,9
O009,Prep,16
O009,Assemble,4
O009,QA,15
O009,Ship,18
O010,Receive,5
O010,Prep,19
O010,Assemble,9
O010,QA,5
O010,Ship,3
O011,Receive,7
O011,Prep,11
O011,Assemble,5
O011,QA,19
O011,Ship,13
O012,Receive,3
O012,Prep,11
O012,Assemble,5
O012,QA,15
O012,Ship,17
O013,Receive,16
O013,Prep,9
O013,Assemble,15
O013,QA,9
O013,Ship,17
O014,Receive,14
O014,Prep,19
O014,Assemble,16
O014,QA,14
O014,Ship,10
O015,Receive,16
O015,Prep,14
O015,Assemble,2
O015,QA,8
O015,Ship,10
O016,Receive,2
O016,Prep,13
O016,Assemble,9
O016,QA,12
O016,Ship,20
O017,Receive,18
O017,Prep,9
O017,Assemble,4
O017,QA,4
O017,Ship,2
O018,Receive,6
O018,Prep,11
O018,Assemble,8
O018,QA,10
O018,Ship,8
O019,Receive,10
O019,Prep,9
O019,Assemble,13
O019,QA,3
O019,Ship,2
O020,Receive,17
O020,Prep,6
O020,Assemble,4
O020,QA,13
O020,Ship,9
O021,Receive,4
O021,Prep,2
O021,Assemble,4
O021,QA,6
O021,Ship,16
O022,Receive,15
O022,Prep,4
O022,Assemble,2
O022,QA,6
O022,Ship,15
O023,Receive,8
O023,Prep,10
O023,Assemble,16
O023,QA,16
O023,Ship,11
O024,Receive,14
O024,Prep,20
O024,Assemble,8
O024,QA,18
O024,Ship,5
O025,Receive,6
O025,Prep,8
O025,Assemble,14
O025,QA,16
O025,Ship,12
O026,Receive,5
O026,Prep,14
O026,Assemble,8
O026,QA,20
O026,Ship,3
O027,Receive,11
O027,Prep,14
O027,Assemble,7
O027,QA,13
O027,Ship,13
O028,Receive,12
O028,Prep,8
O028,Assemble,2
O028,QA,2
O028,Ship,14
O029,Receive,10
O029,Prep,4
O029,Assemble,8
O029,QA,7
O029,Ship,9
O030,Receive,10
O030,Prep,6
O030,Assemble,2
O030,QA,20
O030,Ship,11
O031,Receive,13
O031,Prep,16
O031,Assemble,10
O031,QA,18
O031,Ship,18
O032,Receive,13
O032,Prep,8
O032,Assemble,3
O032,QA,4
O032,Ship,18
O033,Receive,6
O033,Prep,18
O033,Assemble,18
O033,QA,18
O033,Ship,3
O034,Receive,3
O034,Prep,6
O034,Assemble,2
O034,QA,2
O034,Ship,20
O035,Receive,3
O035,Prep,13
O035,Assemble,7
O035,QA,5
O035,Ship,12
O036,Receive,18
O036,Prep,7
O036,Assemble,6
O036,QA,3
O036,Ship,7
O037,Receive,12
O037,Prep,17
O037,Assemble,17
O037,QA,2
O037,Ship,10
O038,Receive,7
O038,Prep,17
O038,Assemble,4
O038,QA,5
O038,Ship,20
O039,Receive,4
O039,Prep,20
O039,Assemble,8
O039,QA,10
O039,Ship,2
O040,Receive,9
O040,Prep,8
O040,Assemble,19
O040,QA,9
O040,Ship,2
O041,Receive,12
O041,Prep,19
O041,Assemble,11
O041,QA,4
O041,Ship,8
O042,Receive,17
O042,Prep,17
O042,Assemble,18
O042,QA,3
O042,Ship,2
O043,Receive,17
O043,Prep,13
O043,Assemble,6
O043,QA,6
O043,Ship,10
O044,Receive,10
O044,Prep,4
O044,Assemble,20
O044,QA,17
O044,Ship,17
O045,Receive,4
O045,Prep,2
O045,Assemble,12
O045,QA,18
O045,Ship,9
O046,Receive,5
O046,Prep,7
O046,Assemble,9
O046,QA,4
O046,Ship,17
O047,Receive,4
O047,Prep,19
O047,Assemble,15
O047,QA,19
O047,Ship,3
O048,Receive,4
O048,Prep,17
O048,Assemble,10
O048,QA,5
O048,Ship,2
O049,Receive,5
O049,Prep,2
O049,Assemble,15
O049,QA,17
O049,Ship,9
O050,Receive,8
O050,Prep,4
O050,Assemble,18
O050,QA,2
O050,Ship,17
O051,Receive,13
O051,Prep,20
O051,Assemble,15
O051,QA,7
O051,Ship,7
O052,Receive,14
O052,Prep,20
O052,Assemble,9
O052,QA,3
O052,Ship,2
O053,Receive,16
O053,Prep,2
O053,Assemble,6
O053,QA,17
O053,Ship,20
O054,Receive,5
O054,Prep,4
O054,Assemble,18
O054,QA,18
O054,Ship,13
O055,Receive,15
O055,Prep,7
O055,Assemble,4
O055,QA,10
O055,Ship,6
O056,Receive,18
O056,Prep,15
O056,Assemble,4
O056,QA,2
O056,Ship,2
O057,Receive,4
O057,Prep,19
O057,Assemble,11
O057,QA,4
O057,Ship,9
O058,Receive,15
O058,Prep,19
O058,Assemble,16
O058,QA,3
O058,Ship,11
O059,Receive,3
O059,Prep,18
O059,Assemble,9
O059,QA,2
O059,Ship,10
O060,Receive,12
O060,Prep,17
O060,Assemble,8
O060,QA,11
O060,Ship,4
O061,Receive,19
O061,Prep,14
O061,Assemble,8
O061,QA,5
O061,Ship,14
O062,Receive,2
O062,Prep,9
O062,Assemble,15
O062,QA,17
O062,Ship,15
O063,Receive,13
O063,Prep,20
O063,Assemble,16
O063,QA,3
O063,Ship,3
O064,Receive,20
O064,Prep,18
O064,Assemble,11
O064,QA,7
O064,Ship,16
O065,Receive,12
O065,Prep,6
O065,Assemble,2
O065,QA,9
O065,Ship,13
O066,Receive,13
O066,Prep,6
O066,Assemble,8
O066,QA,5
O066,Ship,7
O067,Receive,14
O067,Prep,16
O067,Assemble,4
O067,QA,9
O067,Ship,17
O068,Receive,14
O068,Prep,19
O068,Assemble,11
O068,QA,20
O068,Ship,18
O069,Receive,20
O069,Prep,6
O069,Assemble,10
O069,QA,13
O069,Ship,2
O070,Receive,2
O070,Prep,16
O070,Assemble,3
O070,QA,17
O070,Ship,9
O071,Receive,14
O071,Prep,2
O071,Assemble,17
O071,QA,8
O071,Ship,6
O072,Receive,4
O072,Prep,13
O072,Assemble,17
O072,QA,20
O072,Ship,6
O073,Receive,15
O073,Prep,6
O073,Assemble,16
O073,QA,18
O073,Ship,15
O074,Receive,6
O074,Prep,13
O074,Assemble,17
O074,QA,17
O074,Ship,8
O075,Receive,5
O075,Prep,2
O075,Assemble,6
O075,QA,11
O075,Ship,6
O076,Receive,5
O076,Prep,3
O076,Assemble,11
O076,QA,20
O076,Ship,2
O077,Receive,6
O077,Prep,14
O077,Assemble,5
O077,QA,17
O077,Ship,17
O078,Receive,3
O078,Prep,18
O078,Assemble,13
O078,QA,19
O078,Ship,4
O079,Receive,2
O079,Prep,2
O079,Assemble,20
O079,QA,12
O079,Ship,6
O080,Receive,13
O080,Prep,4
O080,Assemble,2
O080,QA,2
O080,Ship,9
O081,Receive,11
O081,Prep,12
O081,Assemble,13
O081,QA,14
O081,Ship,13
O082,Receive,15
O082,Prep,3
O082,Assemble,20
O082,QA,19
O082,Ship,4
O083,Receive,18
O083,Prep,9
O083,Assemble,11
O083,QA,3
O083,Ship,20
O084,Receive,10
O084,Prep,8
O084,Assemble,5
O084,QA,19
O084,Ship,14
O085,Receive,12
O085,Prep,5
O085,Assemble,5
O085,QA,11
O085,Ship,6
O086,Receive,10
O086,Prep,4
O086,Assemble,18
O086,QA,4
O086,Ship,17
O087,Receive,5
O087,Prep,19
O087,Assemble,18
O087,QA,8
O087,Ship,6
O088,Receive,13
O088,Prep,18
O088,Assemble,14
O088,QA,4
O088,Ship,10
O089,Receive,18
O089,Prep,18
O089,Assemble,17
O089,QA,14
O089,Ship,20
O090,Receive,18
O090,Prep,5
O090,Assemble,13
O090,QA,10
O090,Ship,20
O091,Receive,13
O091,Prep,10
O091,Assemble,8
O091,QA,15
O091,Ship,20
O092,Receive,16
O092,Prep,17
O092,Assemble,6
O092,QA,4
O092,Ship,13
O093,Receive,5
O093,Prep,17
O093,Assemble,8
O093,QA,14
O093,Ship,11
O094,Receive,8
O094,Prep,15
O094,Assemble,6
O094,QA,4
O094,Ship,12
O095,Receive,12
O095,Prep,19
O095,Assemble,16
O095,QA,13
O095,Ship,10
O096,Receive,11
O096,Prep,13
O096,Assemble,18
O096,QA,7
O096,Ship,8
O097,Receive,15
O097,Prep,14
O097,Assemble,9
O097,QA,11
O097,Ship,10
O098,Receive,19
O098,Prep,3
O098,Assemble,6
O098,QA,6
O098,Ship,7
O099,Receive,20
O099,Prep,9
O099,Assemble,17
O099,QA,14
O099,Ship,2
O100,Receive,18
O100,Prep,8
O100,Assemble,14
O100,QA,5
O100,Ship,5
